Suburb,Rooms,Price,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,2,1480000,2.5,3067,2,1,1,202,,,-37.7996,144.9984,Northern Metropolitan,4019
Abbotsford,2,1035000,2.5,3067,2,1,0,156,79,1900,-37.8079,144.9934,Northern Metropolitan,4019
Abbotsford,3,1465000,2.5,3067,3,2,0,134,150,1900,-37.8093,144.9944,Northern Metropolitan,4019
Abbotsford,3,850000,2.5,3067,3,2,1,94,,,-37.7969,144.9969,Northern Metropolitan,4019
Abbotsford,4,1600000,2.5,3067,3,1,2,120,142,2014,-37.8072,144.9941,Northern Metropolitan,4019
Abbotsford,2,941000,2.5,3067,2,1,0,181,,,-37.8041,144.9953,Northern Metropolitan,4019
Abbotsford,3,1876000,2.5,3067,4,2,0,245,210,1910,-37.8024,144.9993,Northern Metropolitan,4019
Abbotsford,2,1636000,2.5,3067,2,1,2,256,107,1890,-37.806,144.9954,Northern Metropolitan,4019
Abbotsford,1,300000,2.5,3067,1,1,1,0,,,-37.8008,144.9973,Northern Metropolitan,4019
Abbotsford,2,1097000,2.5,3067,3,1,2,220,75,1900,-37.801,144.9989,Northern Metropolitan,4019
Abbotsford,2,700000,2.5,3067,2,2,1,0,,,-37.811,145.0067,Northern Metropolitan,4019
Abbotsford,3,1350000,2.5,3067,3,2,2,214,190,2005,-37.8085,144.9964,Northern Metropolitan,4019
Abbotsford,2,750000,2.5,3067,2,2,1,0,94,2009,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,2,1172500,2.5,3067,2,1,1,195,,,-37.8084,144.9973,Northern Metropolitan,4019
Abbotsford,1,441000,2.5,3067,1,1,1,0,,,-37.8016,144.9988,Northern Metropolitan,4019
Abbotsford,2,1310000,2.5,3067,2,1,2,238,97,1890,-37.809,144.9976,Northern Metropolitan,4019
Abbotsford,3,1200000,2.5,3067,3,2,1,113,110,1880,-37.8056,144.993,Northern Metropolitan,4019
Abbotsford,3,1176500,2.5,3067,2,1,1,138,105,1890,-37.8021,144.9965,Northern Metropolitan,4019
Abbotsford,3,955000,2.5,3067,3,1,0,183,,,-37.8022,144.9975,Northern Metropolitan,4019
Abbotsford,2,890000,2.5,3067,2,1,1,150,73,1985,-37.8011,145.0004,Northern Metropolitan,4019
Abbotsford,4,1330000,2.5,3067,4,2,2,780,135,1900,-37.8073,144.9952,Northern Metropolitan,4019
Abbotsford,3,900000,2.5,3067,3,2,2,0,,2010,-37.8093,144.9959,Northern Metropolitan,4019
Abbotsford,3,1090000,2.5,3067,3,2,2,4290,27,,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,2,500000,2.5,3067,2,1,1,0,60,1970,-37.8015,144.9972,Northern Metropolitan,4019
Abbotsford,2,1100000,2.5,3067,2,2,1,124,135,2013,-37.8079,144.9977,Northern Metropolitan,4019
Abbotsford,2,1315000,2.5,3067,2,1,0,147,85,1900,-37.808,144.994,Northern Metropolitan,4019
Abbotsford,1,426000,2.5,3067,1,1,1,0,,,-37.8016,144.9988,Northern Metropolitan,4019
Abbotsford,3,1447500,2.5,3067,3,3,1,166,174,2012,-37.8017,145.0001,Northern Metropolitan,4019
Abbotsford,1,457000,2.5,3067,1,1,1,0,50,,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,2,1135000,2.5,3067,2,2,2,98,128,1920,-37.8005,144.9952,Northern Metropolitan,4019
Abbotsford,4,1542000,2.5,3067,4,3,1,0,,,-37.7994,144.9965,Northern Metropolitan,4019
Abbotsford,3,1290000,2.5,3067,3,2,2,147,18,,-37.805,144.9943,Northern Metropolitan,4019
Abbotsford,3,1290000,2.5,3067,3,1,1,168,124,1950,-37.8007,144.9958,Northern Metropolitan,4019
Abbotsford,1,470000,2.5,3067,1,1,1,0,50,2013,-37.8055,144.9961,Northern Metropolitan,4019
Abbotsford,2,1180000,2.5,3067,2,1,0,162,91,1900,-37.8016,144.9956,Northern Metropolitan,4019
Abbotsford,3,1195000,2.5,3067,3,2,1,120,128,1998,-37.8022,144.9954,Northern Metropolitan,4019
Abbotsford,2,1012500,2.5,3067,2,1,0,182,82,1900,-37.8021,144.9976,Northern Metropolitan,4019
Abbotsford,2,1030000,2.5,3067,2,1,1,172,81,1930,-37.8086,144.9946,Northern Metropolitan,4019
Airport West,3,840000,13.5,3042,3,2,1,303,225,2016,-37.718,144.878,Western Metropolitan,3464
Airport West,3,730000,13.5,3042,3,2,1,0,145,1965,-37.7203,144.8755,Western Metropolitan,3464
Airport West,3,770000,13.5,3042,3,2,1,0,145,1965,-37.7203,144.8755,Western Metropolitan,3464
Airport West,2,603000,13.5,3042,2,1,1,272,84,1950,-37.7294,144.888,Western Metropolitan,3464
Airport West,3,700000,13.5,3042,3,2,2,239,134,2009,-37.7218,144.8837,Western Metropolitan,3464
Airport West,3,600000,13.5,3042,2,1,1,290,116,1980,-37.7273,144.8744,Western Metropolitan,3464
Airport West,2,500000,13.5,3042,2,1,1,168,86,2011,-37.7215,144.8864,Western Metropolitan,3464
Airport West,3,720000,13.5,3042,2,1,1,620,,,-37.7173,144.8872,Western Metropolitan,3464
Airport West,4,785000,13.5,3042,3,1,2,597,127,,-37.7259,144.8792,Western Metropolitan,3464
Airport West,6,725000,13.5,3042,6,3,2,976,186,1980,-37.7239,144.8735,Western Metropolitan,3464
Airport West,2,450000,13.5,3042,2,1,1,110,90,2015,-37.7216,144.871,Western Metropolitan,3464
Airport West,2,515000,13.5,3042,2,1,1,141,73,2013,-37.7298,144.8883,Western Metropolitan,3464
Airport West,2,530000,13.5,3042,2,1,1,120,94,2012,-37.7234,144.8792,Western Metropolitan,3464
Airport West,3,895000,13.5,3042,3,1,6,1063,133,1975,-37.7249,144.8728,Western Metropolitan,3464
Airport West,3,805000,13.5,3042,3,1,1,0,105,1950,-37.7217,144.8783,Western Metropolitan,3464
Airport West,3,752000,13.5,3042,3,1,1,265,130,1993,-37.7302,144.8855,Western Metropolitan,3464
Airport West,2,440000,13.5,3042,2,1,1,192,,,-37.7177,144.8787,Western Metropolitan,3464
Airport West,5,755000,13.5,3042,3,2,2,596,,,-37.7248,144.8699,Western Metropolitan,3464
Airport West,3,700000,13.5,3042,3,2,2,165,133,2009,-37.727,144.887,Western Metropolitan,3464
Airport West,3,830000,13.5,3042,3,1,2,971,113,1960,-37.7186,144.876,Western Metropolitan,3464
Airport West,2,462500,13.5,3042,2,1,1,164,,2003,-37.7218,144.8863,Western Metropolitan,3464
Airport West,3,670000,13.5,3042,3,2,2,657,,,-37.7269,144.8742,Western Metropolitan,3464
Airport West,2,675000,13.5,3042,2,1,1,612,100,1975,-37.7187,144.8765,Western Metropolitan,3464
